rank,name,symbol,buy,price,1h 24h 7h_change,marketcap,timestamp
1,Bitcoin,BTC,Buy,"$111,016.85",0.16% 3.05% 2.82%,"$57,572,163,059",2025-10-20 17:22:54
2,Ethereum,ETH,Buy,"$4,039.90",0.42% 3.00% 0.92%,"$36,223,286,735",2025-10-20 17:22:54
3,Tether,USDT,Buy,$1.00,0.01% 0.01% 0.07%,"$130,016,186,162",2025-10-20 17:22:54
4,BNB,BNB,Buy,"$1,115.87",0.13% 1.58% 13.42%,"$4,029,521,732",2025-10-20 17:22:54
5,XRP,XRP,Buy,$2.45,0.28% 3.54% 4.33%,"$3,720,401,377",2025-10-20 17:22:54
6,Solana,SOL,Buy,$192.18,0.09% 1.77% 0.19%,"$5,611,806,015",2025-10-20 17:22:54
7,USDC,USDC,Buy,$0.9997,0.02% 0.02% 0.02%,"$13,356,946,703",2025-10-20 17:22:54
8,TRON,TRX,Buy,$0.3233,0.03% 1.73% 0.84%,"$653,063,173",2025-10-20 17:22:54
9,Dogecoin,DOGE,Buy,$0.2003,0.04% 3.77% 2.65%,"$2,034,886,308",2025-10-20 17:22:54
10,Cardano,ADA,Buy,$0.6664,0.45% 3.78% 5.71%,"$1,062,740,726",2025-10-20 17:22:54
1,Bitcoin,BTC,Buy,"$108,256.99",0.11% 4.78% 2.45%,"$99,128,501,829",2025-10-22 22:05:06
2,Ethereum,ETH,Buy,"$3,829.57",0.28% 6.69% 4.06%,"$49,170,020,606",2025-10-22 22:05:06
3,Tether,USDT,Buy,$0.9997,0.02% 0.06% 0.12%,"$184,292,322,337",2025-10-22 22:05:06
4,BNB,BNB,Buy,"$1,074.39",0.08% 2.85% 8.41%,"$3,951,696,027",2025-10-22 22:05:06
5,XRP,XRP,Buy,$2.38,0.08% 5.14% 2.36%,"$4,756,838,863",2025-10-22 22:05:06
6,Solana,SOL,Buy,$183.07,0.10% 7.09% 7.71%,"$7,882,485,243",2025-10-22 22:05:06
7,USDC,USDC,Buy,$0.9999,0.01% 0.01% 0.01%,"$22,395,140,400",2025-10-22 22:05:06
8,TRON,TRX,Buy,$0.3215,0.13% 1.03% 2.73%,"$1,091,946,119",2025-10-22 22:05:06
9,Dogecoin,DOGE,Buy,$0.1909,0.16% 6.57% 4.43%,"$2,778,973,093",2025-10-22 22:05:06
10,Cardano,ADA,Buy,$0.6317,0.23% 7.41% 6.25%,"$1,128,993,302",2025-10-22 22:05:06
1,Bitcoin,BTC,Buy,"$110,080.30",1.06% 0.59% 5.01%,"$52,735,360,829",2025-10-24 20:03:26
2,Ethereum,ETH,Buy,"$3,908.66",1.51% 1.98% 4.74%,"$37,279,194,829",2025-10-24 20:03:26
3,Tether,USDT,Buy,$1.00,0.01% 0.00% 0.01%,"$131,524,193,274",2025-10-24 20:03:26
4,BNB,BNB,Buy,"$1,108.98",1.76% 2.25% 4.61%,"$5,046,456,978",2025-10-24 20:03:26
5,XRP,XRP,Buy,$2.47,0.73% 3.53% 9.86%,"$4,004,713,781",2025-10-24 20:03:26
6,Solana,SOL,Buy,$190.27,1.60% 0.36% 6.49%,"$6,239,122,783",2025-10-24 20:03:26
